ticket_no,flights_count,city_departure,city_arrival
5432053802   ,2,Anapa,Moscow
5432053803   ,2,Anapa,Moscow
5432053804   ,2,Anapa,Moscow
5432053805   ,2,Anapa,Moscow
5432053806   ,2,Anapa,Moscow
5432053807   ,2,Anapa,Moscow
5432053808   ,2,Anapa,Moscow
5432053809   ,2,Anapa,Moscow
5432053810   ,2,Anapa,Moscow
5432053811   ,2,Anapa,Moscow
5432053812   ,2,Anapa,Moscow
5432053813   ,2,Anapa,Moscow
5432053814   ,2,Anapa,Moscow
5432053815   ,2,Anapa,Moscow
5432053816   ,2,Anapa,Moscow
5432053817   ,2,Anapa,Moscow
5432053818   ,2,Anapa,Moscow
5432053819   ,2,Anapa,Moscow
5432053820   ,2,Anapa,Moscow
5432053821   ,2,Anapa,Moscow
5432053822   ,2,Anapa,Moscow
5432053823   ,2,Anapa,Moscow
5432053824   ,2,Anapa,Moscow
5432053825   ,2,Anapa,Moscow
5432053826   ,2,Anapa,Moscow
5432053827   ,2,Anapa,Moscow
5432053828   ,2,Anapa,Moscow
5432053829   ,2,Anapa,Moscow
5432053830   ,2,Anapa,Moscow
5432053831   ,2,Anapa,Moscow
5432053832   ,2,Anapa,Moscow
5432053833   ,2,Anapa,Moscow
5432053834   ,2,Anapa,Moscow
5432053835   ,2,Anapa,Moscow
5432053836   ,2,Anapa,Moscow
5432053837   ,2,Anapa,Moscow
5432286076   ,2,Moscow,Anapa
5432286077   ,2,Moscow,Anapa
5432286078   ,2,Moscow,Anapa
5432286079   ,2,Moscow,Anapa
5432286080   ,2,Moscow,Anapa
5432286081   ,2,Moscow,Anapa
5432286082   ,2,Moscow,Anapa
5432286083   ,2,Moscow,Anapa
5432286084   ,2,Moscow,Anapa
5432286085   ,2,Moscow,Anapa
5432286086   ,2,Moscow,Anapa
5432286087   ,2,Moscow,Anapa
5432286088   ,2,Moscow,Anapa
5432286089   ,2,Moscow,Anapa
5432286090   ,2,Moscow,Anapa
5432286091   ,2,Moscow,Anapa
5432286092   ,2,Moscow,Anapa
5432286093   ,2,Moscow,Anapa
5432286094   ,2,Moscow,Anapa
5432286095   ,2,Moscow,Anapa
5432286096   ,2,Moscow,Anapa
5432286097   ,2,Moscow,Anapa
5432286098   ,2,Moscow,Anapa
5432286099   ,2,Moscow,Anapa
5432286100   ,2,Moscow,Anapa
5432286101   ,2,Moscow,Anapa
5432286102   ,2,Moscow,Anapa
5432286103   ,2,Moscow,Anapa
5432286104   ,2,Moscow,Anapa
5432286105   ,2,Moscow,Anapa
5432286106   ,2,Moscow,Anapa
5432286107   ,2,Moscow,Anapa
5432286108   ,2,Moscow,Anapa
5432286109   ,2,Moscow,Anapa
5432286110   ,2,Moscow,Anapa
5432286111   ,2,Moscow,Anapa
5432286112   ,2,Moscow,Anapa
5432286113   ,2,Moscow,Anapa
5432286114   ,2,Moscow,Anapa
5432286115   ,2,Moscow,Anapa
5432286116   ,2,Moscow,Anapa
5432286117   ,2,Moscow,Anapa
5432286118   ,2,Moscow,Anapa
5432286119   ,2,Moscow,Anapa
5432286120   ,2,Moscow,Anapa
5432286121   ,2,Moscow,Anapa
5432286122   ,2,Moscow,Anapa
5432286123   ,2,Moscow,Anapa
5432286124   ,2,Moscow,Anapa
5432286125   ,2,Moscow,Anapa
5432286126   ,2,Moscow,Anapa
5432286127   ,2,Moscow,Anapa
5432286128   ,2,Moscow,Anapa
5432286129   ,2,Moscow,Anapa
5432286130   ,2,Moscow,Anapa
5432286131   ,2,Moscow,Anapa
5432286132   ,2,Moscow,Anapa
5432286133   ,2,Moscow,Anapa
5432286134   ,2,Moscow,Anapa
5432286135   ,2,Moscow,Anapa
5432286136   ,2,Moscow,Anapa
5432286137   ,2,Moscow,Anapa
5432286138   ,2,Moscow,Anapa
5432286139   ,2,Moscow,Anapa
5432286140   ,2,Moscow,Anapa
5432286141   ,2,Moscow,Anapa
5432286142   ,2,Moscow,Anapa
5432286143   ,2,Moscow,Anapa
5432286144   ,2,Moscow,Anapa
5432286145   ,2,Moscow,Anapa
5432286146   ,2,Moscow,Anapa
5432286147   ,2,Moscow,Anapa
5432286148   ,2,Moscow,Anapa
5432286149   ,2,Moscow,Anapa
5432286150   ,2,Moscow,Anapa
5432286151   ,2,Moscow,Anapa
5432286152   ,2,Moscow,Anapa
5432286153   ,2,Moscow,Anapa
5432286154   ,2,Moscow,Anapa
5432286155   ,2,Moscow,Anapa
5432286156   ,2,Moscow,Anapa
5432286157   ,2,Moscow,Anapa
5432286158   ,2,Moscow,Anapa
5432286159   ,2,Moscow,Anapa
5432286160   ,2,Moscow,Anapa
5432286161   ,2,Moscow,Anapa
5432286162   ,2,Moscow,Anapa
5432286163   ,2,Moscow,Anapa
5432286164   ,2,Moscow,Anapa
5432286165   ,2,Moscow,Anapa
5432286166   ,2,Moscow,Anapa
5432286167   ,2,Moscow,Anapa
5432286168   ,2,Moscow,Anapa
5432286169   ,2,Moscow,Anapa
5432286170   ,2,Moscow,Anapa
5432286171   ,2,Moscow,Anapa
5432286172   ,2,Moscow,Anapa
5432286173   ,2,Moscow,Anapa
5432286174   ,2,Moscow,Anapa
5432286175   ,2,Moscow,Anapa
5432286176   ,2,Moscow,Anapa
5432286177   ,2,Moscow,Anapa
5432286178   ,2,Moscow,Anapa
5432286179   ,2,Moscow,Anapa
5432286180   ,2,Moscow,Anapa
5432286181   ,2,Moscow,Anapa
5432286182   ,2,Moscow,Anapa
5432286183   ,2,Moscow,Anapa
5432286184   ,2,Moscow,Anapa
5432286185   ,2,Moscow,Anapa
5432286186   ,2,Moscow,Anapa
5432286187   ,2,Moscow,Anapa
5432286188   ,2,Moscow,Anapa
5432286189   ,2,Moscow,Anapa
5432286190   ,2,Moscow,Anapa
5432286191   ,2,Moscow,Anapa
5432286192   ,2,Moscow,Anapa
5432286193   ,2,Moscow,Anapa
5432286194   ,2,Moscow,Anapa
5432286195   ,2,Moscow,Anapa
5432286196   ,2,Moscow,Anapa
5432286197   ,2,Moscow,Anapa
5432286198   ,2,Moscow,Anapa
5432286199   ,2,Moscow,Anapa
5432286200   ,2,Moscow,Anapa
5432286201   ,2,Moscow,Anapa
5432286202   ,2,Moscow,Anapa
5432286203   ,2,Moscow,Anapa
5432286204   ,2,Moscow,Anapa
5432286205   ,2,Moscow,Anapa
5432286206   ,2,Moscow,Anapa
5432286207   ,2,Moscow,Anapa
5432286208   ,2,Moscow,Anapa
5432286209   ,2,Moscow,Anapa
5432286210   ,2,Moscow,Anapa
5432286211   ,2,Moscow,Anapa
5432286212   ,2,Moscow,Anapa
5432286213   ,2,Moscow,Anapa
5432286214   ,2,Moscow,Anapa
5432286215   ,2,Moscow,Anapa
5432286216   ,2,Moscow,Anapa
5432286217   ,2,Moscow,Anapa
5432286218   ,2,Moscow,Anapa
5432286219   ,2,Moscow,Anapa
5432286220   ,2,Moscow,Anapa
5432286221   ,2,Moscow,Anapa
5432286222   ,2,Moscow,Anapa
5432286223   ,2,Moscow,Anapa
5432286224   ,2,Moscow,Anapa
5432286225   ,2,Moscow,Anapa
5432286226   ,2,Moscow,Anapa
5432286227   ,2,Moscow,Anapa
5432286228   ,2,Moscow,Anapa
5432286229   ,2,Moscow,Anapa
5432286230   ,2,Moscow,Anapa
5432286231   ,2,Moscow,Anapa
5432286232   ,2,Moscow,Anapa
5432286233   ,2,Moscow,Anapa
5432286234   ,2,Moscow,Anapa
5432286235   ,2,Moscow,Anapa
5432286236   ,2,Moscow,Anapa
5432286237   ,2,Moscow,Anapa
5432286238   ,2,Moscow,Anapa
5432286239   ,2,Moscow,Anapa
5432286240   ,2,Moscow,Anapa
5432286241   ,2,Moscow,Anapa
5432286242   ,2,Moscow,Anapa
5432286243   ,2,Moscow,Anapa
5432286244   ,2,Moscow,Anapa
5432286245   ,2,Moscow,Anapa
5432286246   ,2,Moscow,Anapa
5432286247   ,2,Moscow,Anapa
5432286248   ,2,Moscow,Anapa
5432286249   ,2,Moscow,Anapa
5432286250   ,2,Moscow,Anapa
5432286251   ,2,Moscow,Anapa
5432286252   ,2,Moscow,Anapa
5432286253   ,2,Moscow,Anapa
5432286254   ,2,Moscow,Anapa
5432286255   ,2,Moscow,Anapa
5432286256   ,2,Moscow,Anapa
5432286257   ,2,Moscow,Anapa
5432286258   ,2,Moscow,Anapa
5432286259   ,2,Moscow,Anapa
5432286260   ,2,Moscow,Anapa
5432286261   ,2,Moscow,Anapa
5432286262   ,2,Moscow,Anapa
5432286263   ,2,Moscow,Anapa
5432286264   ,2,Moscow,Anapa
5432286265   ,2,Moscow,Anapa
5432286266   ,2,Moscow,Anapa
5432286267   ,2,Moscow,Anapa
5432286268   ,2,Moscow,Anapa
5432286269   ,2,Moscow,Anapa
5432286270   ,2,Moscow,Anapa
5432286271   ,2,Moscow,Anapa
5432286272   ,2,Moscow,Anapa
5432286273   ,2,Moscow,Anapa
5432286274   ,2,Moscow,Anapa
5432286275   ,2,Moscow,Anapa
5432286276   ,2,Moscow,Anapa
5432286277   ,2,Moscow,Anapa
5432286278   ,2,Moscow,Anapa
5432286279   ,2,Moscow,Anapa
5432286280   ,2,Moscow,Anapa
5432286281   ,2,Moscow,Anapa
5432286282   ,2,Moscow,Anapa
5432286283   ,2,Moscow,Anapa
5432286284   ,2,Moscow,Anapa
5432286285   ,2,Moscow,Anapa
5432286286   ,2,Moscow,Anapa
5432286287   ,2,Moscow,Anapa
5432286288   ,2,Moscow,Anapa
5432286289   ,2,Moscow,Anapa
5432286290   ,2,Moscow,Anapa
5432286291   ,2,Moscow,Anapa
5432286292   ,2,Moscow,Anapa
5432286293   ,2,Moscow,Anapa
5432286294   ,2,Moscow,Anapa
5432286295   ,2,Moscow,Anapa
5432286296   ,2,Moscow,Anapa
5432286297   ,2,Moscow,Anapa
5432286298   ,2,Moscow,Anapa
5432286299   ,2,Moscow,Anapa
5432286300   ,2,Moscow,Anapa
5432286301   ,2,Moscow,Anapa
5432286302   ,2,Moscow,Anapa
5432286303   ,2,Moscow,Anapa
5432286304   ,2,Moscow,Anapa
5432286305   ,2,Moscow,Anapa
5432286306   ,2,Moscow,Anapa
5432286307   ,2,Moscow,Anapa
5432286308   ,2,Moscow,Anapa
5432286309   ,2,Moscow,Anapa
5432286310   ,2,Moscow,Anapa
5432286311   ,2,Moscow,Anapa
5432286312   ,2,Moscow,Anapa
5432286313   ,2,Moscow,Anapa
5432286314   ,2,Moscow,Anapa
5432286315   ,2,Moscow,Anapa
5432286316   ,2,Moscow,Anapa
5432286317   ,2,Moscow,Anapa
5432286318   ,2,Moscow,Anapa
5432286319   ,2,Moscow,Anapa
5432286320   ,2,Moscow,Anapa
5432286321   ,2,Moscow,Anapa
5432286322   ,2,Moscow,Anapa
5432286323   ,2,Moscow,Anapa
5432286324   ,2,Moscow,Anapa
5432286325   ,2,Moscow,Anapa
5432286326   ,2,Moscow,Anapa
5432286327   ,2,Moscow,Anapa
5432286328   ,2,Moscow,Anapa
5432286329   ,2,Moscow,Anapa
5432286330   ,2,Moscow,Anapa
5432286331   ,2,Moscow,Anapa
5432286332   ,2,Moscow,Anapa
5432286333   ,2,Moscow,Anapa
5432286334   ,2,Moscow,Anapa
5432286335   ,2,Moscow,Anapa
5432286336   ,2,Moscow,Anapa
5432286337   ,2,Moscow,Anapa
5432286338   ,2,Moscow,Anapa
5432286339   ,2,Moscow,Anapa
5432286340   ,2,Moscow,Anapa
5432286341   ,2,Moscow,Anapa
5432286342   ,2,Moscow,Anapa
5432286343   ,2,Moscow,Anapa
5432286344   ,2,Moscow,Anapa
5432286345   ,2,Moscow,Anapa
5432286346   ,2,Moscow,Anapa
5432286347   ,2,Moscow,Anapa
5432286348   ,2,Moscow,Anapa
5432286349   ,2,Moscow,Anapa
5432286350   ,2,Moscow,Anapa
5432286351   ,2,Moscow,Anapa
5432286352   ,2,Moscow,Anapa
5432286353   ,2,Moscow,Anapa
5432286354   ,2,Moscow,Anapa
5432286355   ,2,Moscow,Anapa
5432286356   ,2,Moscow,Anapa
5432286357   ,2,Moscow,Anapa
5432286358   ,2,Moscow,Anapa
5432286359   ,2,Moscow,Anapa
5432286360   ,2,Moscow,Anapa
5432286361   ,2,Moscow,Anapa
5432286362   ,2,Moscow,Anapa
5432286363   ,2,Moscow,Anapa
5432286364   ,2,Moscow,Anapa
5432286365   ,2,Moscow,Anapa
5432286366   ,2,Moscow,Anapa
5432286367   ,2,Moscow,Anapa
5432286368   ,2,Moscow,Anapa
5432286369   ,2,Moscow,Anapa
5432286370   ,2,Moscow,Anapa
5432286371   ,2,Moscow,Anapa
5432286372   ,2,Moscow,Anapa
5432286373   ,2,Moscow,Anapa
5432286374   ,2,Moscow,Anapa
5432286375   ,2,Moscow,Anapa
5432286376   ,2,Moscow,Anapa
5432286377   ,2,Moscow,Anapa
5432286378   ,2,Moscow,Anapa
5432318047   ,2,Anapa,Moscow
5432318048   ,2,Anapa,Moscow
5432318086   ,2,Anapa,Moscow
5432318089   ,2,Anapa,Moscow
5432318095   ,2,Anapa,Moscow
5432318118   ,2,Anapa,Moscow
5432318119   ,2,Anapa,Moscow
5432318140   ,2,Anapa,Moscow
5432318147   ,2,Anapa,Moscow
5432318152   ,2,Anapa,Moscow
5432318153   ,2,Anapa,Moscow
5432318160   ,2,Anapa,Moscow
5432318172   ,2,Anapa,Moscow
5432318175   ,2,Anapa,Moscow
5432318176   ,2,Anapa,Moscow
5432318180   ,2,Anapa,Moscow
5432318182   ,2,Anapa,Moscow
5432318198   ,2,Anapa,Moscow
5432318199   ,2,Anapa,Moscow
5432318205   ,2,Anapa,Moscow
5432318206   ,2,Anapa,Moscow
5432318207   ,2,Anapa,Moscow
5432318208   ,2,Anapa,Moscow
5432318210   ,2,Anapa,Moscow
5432318211   ,2,Anapa,Moscow
5432318214   ,2,Anapa,Moscow
5432318215   ,2,Anapa,Moscow
5432318216   ,2,Anapa,Moscow
5432318220   ,2,Anapa,Moscow
5432318222   ,2,Anapa,Moscow
5432318225   ,2,Anapa,Moscow
5432318226   ,2,Anapa,Moscow
5432318228   ,2,Anapa,Moscow
5432318229   ,2,Anapa,Moscow
5432318230   ,2,Anapa,Moscow
5432318235   ,2,Anapa,Moscow
5432318237   ,2,Anapa,Moscow
5432318239   ,2,Anapa,Moscow
5432318241   ,2,Anapa,Moscow
5432318244   ,2,Anapa,Moscow
5432318245   ,2,Anapa,Moscow
5432318247   ,2,Anapa,Moscow
5432318248   ,2,Anapa,Moscow
5432318249   ,2,Anapa,Moscow
5432318250   ,2,Anapa,Moscow
5432318253   ,2,Anapa,Moscow
5432318254   ,2,Anapa,Moscow
5432318255   ,2,Anapa,Moscow
5432318256   ,2,Anapa,Moscow
5432318257   ,2,Anapa,Moscow
5432318260   ,2,Anapa,Moscow
5432318261   ,2,Anapa,Moscow
5432318263   ,2,Anapa,Moscow
5432318264   ,2,Anapa,Moscow
5432318268   ,2,Anapa,Moscow
5432318269   ,2,Anapa,Moscow
5432318272   ,2,Anapa,Moscow
5432318273   ,2,Anapa,Moscow
5432318274   ,2,Anapa,Moscow
5432318275   ,2,Anapa,Moscow
5432318279   ,2,Anapa,Moscow
5432318280   ,2,Anapa,Moscow
5432318281   ,2,Anapa,Moscow
5432318282   ,2,Anapa,Moscow
5432318283   ,2,Anapa,Moscow
5432318284   ,2,Anapa,Moscow
5432318285   ,2,Anapa,Moscow
5432318286   ,2,Anapa,Moscow
5432318294   ,2,Anapa,Moscow
5432318295   ,2,Anapa,Moscow
5432318296   ,2,Anapa,Moscow
5432318297   ,2,Anapa,Moscow
5432318300   ,2,Anapa,Moscow
5432318301   ,2,Anapa,Moscow
5432318302   ,2,Anapa,Moscow
5432318303   ,2,Anapa,Moscow
5432318307   ,2,Anapa,Moscow
5432318308   ,2,Anapa,Moscow
5432318309   ,2,Anapa,Moscow
5432318312   ,2,Anapa,Moscow
5432318313   ,2,Anapa,Moscow
5432318317   ,2,Anapa,Moscow
5432318318   ,2,Anapa,Moscow
5432318319   ,2,Anapa,Moscow
5432318320   ,2,Anapa,Moscow
5432318321   ,2,Anapa,Moscow
5432318323   ,2,Anapa,Moscow
5432318329   ,2,Anapa,Moscow
5432318330   ,2,Anapa,Moscow
5432318335   ,2,Anapa,Moscow
5432318336   ,2,Anapa,Moscow
5432318338   ,2,Anapa,Moscow
5432318339   ,2,Anapa,Moscow
5432318340   ,2,Anapa,Moscow
5432318341   ,2,Anapa,Moscow
5432318342   ,2,Anapa,Moscow
5432318344   ,2,Anapa,Moscow
5432318345   ,2,Anapa,Moscow
5432318346   ,2,Anapa,Moscow
5432318347   ,2,Anapa,Moscow
5432318348   ,2,Anapa,Moscow
5432318349   ,2,Anapa,Moscow
5432318350   ,2,Anapa,Moscow
5432318353   ,2,Anapa,Moscow
5432318354   ,2,Anapa,Moscow
5432318355   ,2,Anapa,Moscow
5432318356   ,2,Anapa,Moscow
5432318357   ,2,Anapa,Moscow
5432318358   ,2,Anapa,Moscow
5432318359   ,2,Anapa,Moscow
5432318360   ,2,Anapa,Moscow
5432318361   ,2,Anapa,Moscow
5432318362   ,2,Anapa,Moscow
5432318363   ,2,Anapa,Moscow
5432318364   ,2,Anapa,Moscow
5432318365   ,2,Anapa,Moscow
5432318366   ,2,Anapa,Moscow
5432318367   ,2,Anapa,Moscow
5432318368   ,2,Anapa,Moscow
5432318369   ,2,Anapa,Moscow
5432318370   ,2,Anapa,Moscow
5432318371   ,2,Anapa,Moscow
5432318372   ,2,Anapa,Moscow
5432318373   ,2,Anapa,Moscow
5432318374   ,2,Anapa,Moscow
5432318375   ,2,Anapa,Moscow
5432318376   ,2,Anapa,Moscow
5432318377   ,2,Anapa,Moscow
5432318378   ,2,Anapa,Moscow
5432318379   ,2,Anapa,Moscow
5432318381   ,2,Anapa,Moscow
5432318382   ,2,Anapa,Moscow
5432318383   ,2,Anapa,Moscow
5432318384   ,2,Anapa,Moscow
5432318385   ,2,Anapa,Moscow
5432318386   ,2,Anapa,Moscow
5432318387   ,2,Anapa,Moscow
5432318388   ,2,Anapa,Moscow
5432318389   ,2,Anapa,Moscow
5432318390   ,2,Anapa,Moscow
5432318391   ,2,Anapa,Moscow
5432318394   ,2,Anapa,Moscow
5432318395   ,2,Anapa,Moscow
5432318396   ,2,Anapa,Moscow
5432318397   ,2,Anapa,Moscow
5432318400   ,2,Anapa,Moscow
5432318401   ,2,Anapa,Moscow
5432318402   ,2,Anapa,Moscow
5432318403   ,2,Anapa,Moscow
5432318404   ,2,Anapa,Moscow
5432318405   ,2,Anapa,Moscow
5432318406   ,2,Anapa,Moscow
5432318407   ,2,Anapa,Moscow
5432318408   ,2,Anapa,Moscow
5432318409   ,2,Anapa,Moscow
5432318410   ,2,Anapa,Moscow
5432318411   ,2,Anapa,Moscow
5432318412   ,2,Anapa,Moscow
5432318413   ,2,Anapa,Moscow
5432318414   ,2,Anapa,Moscow
5432318415   ,2,Anapa,Moscow
5432318416   ,2,Anapa,Moscow
5432318417   ,2,Anapa,Moscow
5432318418   ,2,Anapa,Moscow
5432318419   ,2,Anapa,Moscow
5432318420   ,2,Anapa,Moscow
5432318421   ,2,Anapa,Moscow
5432318422   ,2,Anapa,Moscow
5432318423   ,2,Anapa,Moscow
5432318424   ,2,Anapa,Moscow
5432318425   ,2,Anapa,Moscow
5432318426   ,2,Anapa,Moscow
5432318427   ,2,Anapa,Moscow
5432318428   ,2,Anapa,Moscow
5432318429   ,2,Anapa,Moscow
5432318430   ,2,Anapa,Moscow
5432318431   ,2,Anapa,Moscow
5432318432   ,2,Anapa,Moscow
5432318433   ,2,Anapa,Moscow
5432318434   ,2,Anapa,Moscow
5432318435   ,2,Anapa,Moscow
5432318436   ,2,Anapa,Moscow
5432318437   ,2,Anapa,Moscow
5432318438   ,2,Anapa,Moscow
5432318439   ,2,Anapa,Moscow
5432318440   ,2,Anapa,Moscow
5432318441   ,2,Anapa,Moscow
5432318442   ,2,Anapa,Moscow
5432318445   ,2,Anapa,Moscow
5432318446   ,2,Anapa,Moscow
5432318447   ,2,Anapa,Moscow
5432318448   ,2,Anapa,Moscow
5432318449   ,2,Anapa,Moscow
5432318450   ,2,Anapa,Moscow
5432318451   ,2,Anapa,Moscow
5432318452   ,2,Anapa,Moscow
5432318453   ,2,Anapa,Moscow
5432318454   ,2,Anapa,Moscow
5432318455   ,2,Anapa,Moscow
5432318456   ,2,Anapa,Moscow
5432318457   ,2,Anapa,Moscow
5432318458   ,2,Anapa,Moscow
5432318459   ,2,Anapa,Moscow
5432318460   ,2,Anapa,Moscow
5432318461   ,2,Anapa,Moscow
5432318462   ,2,Anapa,Moscow
5432318463   ,2,Anapa,Moscow
5432318464   ,2,Anapa,Moscow
5432318465   ,2,Anapa,Moscow
5432318466   ,2,Anapa,Moscow
5432318467   ,2,Anapa,Moscow
5432318468   ,2,Anapa,Moscow
5432318469   ,2,Anapa,Moscow
5432318470   ,2,Anapa,Moscow
5432318471   ,2,Anapa,Moscow
5432318472   ,2,Anapa,Moscow
5432318473   ,2,Anapa,Moscow
5432318474   ,2,Anapa,Moscow
5432318475   ,2,Anapa,Moscow
5432318476   ,2,Anapa,Moscow
5432318477   ,2,Anapa,Moscow
5432318478   ,2,Anapa,Moscow
5432318479   ,2,Anapa,Moscow
5432318480   ,2,Anapa,Moscow
5432318481   ,2,Anapa,Moscow
5432318482   ,2,Anapa,Moscow
5432318483   ,2,Anapa,Moscow
5432318484   ,2,Anapa,Moscow
5432318485   ,2,Anapa,Moscow
5432318486   ,2,Anapa,Moscow
5432318487   ,2,Anapa,Moscow
5432318488   ,2,Anapa,Moscow
5432318489   ,2,Anapa,Moscow
5432318490   ,2,Anapa,Moscow
5432318491   ,2,Anapa,Moscow
5432318492   ,2,Anapa,Moscow
5432318493   ,2,Anapa,Moscow
5432318494   ,2,Anapa,Moscow
5432318495   ,2,Anapa,Moscow
5432318496   ,2,Anapa,Moscow
5432318497   ,2,Anapa,Moscow
5432318498   ,2,Anapa,Moscow
5432318499   ,2,Anapa,Moscow
5432318500   ,2,Anapa,Moscow
5432318501   ,2,Anapa,Moscow
5432318502   ,2,Anapa,Moscow
5432318503   ,2,Anapa,Moscow
5432318504   ,2,Anapa,Moscow
5432318505   ,2,Anapa,Moscow
5432318506   ,2,Anapa,Moscow
5432318507   ,2,Anapa,Moscow
5432318508   ,2,Anapa,Moscow
5432318509   ,2,Anapa,Moscow
